querySetID;query;encodings;max_card;min_max_step;estimated_cardinality;true_cardinality
1;SELECT COUNT(*) FROM movie_companies mc,movie_keyword mk,title t WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND mc.company_type_id<=2 AND mk.keyword_id>68570 AND t.production_year<=2068;[];63056995;[[1, 2, 1], [1, 236627, 1], [1874, 2115, 1]];4246904;5856814
1;SELECT COUNT(*) FROM movie_companies mc,movie_keyword mk,title t WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND mc.company_type_id>1 AND mk.keyword_id<=197791 AND t.production_year<2099;[];63056995;[[1, 2, 1], [1, 236627, 1], [1874, 2115, 1]];25743857;14353987
1;SELECT COUNT(*) FROM movie_companies mc,movie_keyword mk,title t WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND mc.company_type_id=2 AND mk.keyword_id=172436 AND t.production_year!=2003;[];63056995;[[1, 2, 1], [1, 236627, 1], [1874, 2115, 1]];1210;1
1;SELECT COUNT(*) FROM movie_companies mc,movie_keyword mk,title t WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND mc.company_type_id!=2 AND mk.keyword_id!=193392 AND t.production_year!=2019;[];63056995;[[1, 2, 1], [1, 236627, 1], [1874, 2115, 1]];18185706;48503262
1;SELECT COUNT(*) FROM movie_companies mc,movie_keyword mk,title t WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND mc.company_type_id=1 AND mk.keyword_id<12301 AND t.production_year!=1950;[];63056995;[[1, 2, 1], [1, 236627, 1], [1874, 2115, 1]];11272500;29866606
1;SELECT COUNT(*) FROM movie_companies mc,movie_keyword mk,title t WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND mc.company_type_id>=2 AND mk.keyword_id<=127583 AND t.production_year=1977;[];63056995;[[1, 2, 1], [1, 236627, 1], [1874, 2115, 1]];119593;66020
1;SELECT COUNT(*) FROM movie_companies mc,movie_keyword mk,title t WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND mc.company_type_id!=1 AND mk.keyword_id!=228834 AND t.production_year>=2073;[];63056995;[[1, 2, 1], [1, 236627, 1], [1874, 2115, 1]];149;3
1;SELECT COUNT(*) FROM movie_companies mc,movie_keyword mk,title t WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND mc.company_type_id!=2 AND mk.keyword_id!=27633 AND t.production_year!=1932;[];63056995;[[1, 2, 1], [1, 236627, 1], [1874, 2115, 1]];18185706;48422543
1;SELECT COUNT(*) FROM movie_companies mc,movie_keyword mk,title t WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND mc.company_type_id>=1 AND mk.keyword_id!=36033 AND t.production_year<=2043;[];63056995;[[1, 2, 1], [1, 236627, 1], [1874, 2115, 1]];44125221;62978305
1;SELECT COUNT(*) FROM movie_companies mc,movie_keyword mk,title t WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND mc.company_type_id!=1 AND mk.keyword_id!=137693 AND t.production_year>1992;[];63056995;[[1, 2, 1], [1, 236627, 1], [1874, 2115, 1]];19839346;10762789
0;SELECT COUNT(*) FROM movie_companies mc,movie_info_idx mi_idx,title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mc.company_type_id<=2 AND t.production_year>1916;[];134163798;[[1, 2, 1], [1874, 2115, 1]];171733394;131626071
0;SELECT COUNT(*) FROM movie_companies mc,movie_info_idx mi_idx,title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mc.company_type_id>=1 AND t.production_year=1946;[];134163798;[[1, 2, 1], [1874, 2115, 1]];98164;364886
0;SELECT COUNT(*) FROM movie_companies mc,movie_info_idx mi_idx,title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mc.company_type_id<=1 AND t.production_year!=2006;[];134163798;[[1, 2, 1], [1874, 2115, 1]];70273125;91787860
0;SELECT COUNT(*) FROM movie_companies mc,movie_info_idx mi_idx,title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mc.company_type_id<=1 AND t.production_year>2005;[];134163798;[[1, 2, 1], [1874, 2115, 1]];40887471;33816950
0;SELECT COUNT(*) FROM movie_companies mc,movie_info_idx mi_idx,title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mc.company_type_id=1 AND t.production_year!=1955;[];134163798;[[1, 2, 1], [1874, 2115, 1]];72281073;94149936
0;SELECT COUNT(*) FROM movie_companies mc,movie_info_idx mi_idx,title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mc.company_type_id>=1 AND t.production_year>=2053;[];134163798;[[1, 2, 1], [1874, 2115, 1]];1012;30
0;SELECT COUNT(*) FROM movie_companies mc,movie_info_idx mi_idx,title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mc.company_type_id<=1 AND t.production_year!=1987;[];134163798;[[1, 2, 1], [1874, 2115, 1]];71914586;93379336
0;SELECT COUNT(*) FROM movie_companies mc,movie_info_idx mi_idx,title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mc.company_type_id!=1 AND t.production_year>=2093;[];134163798;[[1, 2, 1], [1874, 2115, 1]];595;30
0;SELECT COUNT(*) FROM movie_companies mc,movie_info_idx mi_idx,title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mc.company_type_id=2 AND t.production_year<=1916;[];134163798;[[1, 2, 1], [1874, 2115, 1]];2303144;1011277
0;SELECT COUNT(*) FROM movie_companies mc,movie_info_idx mi_idx,title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mc.company_type_id>=1 AND t.production_year<=2009;[];134163798;[[1, 2, 1], [1874, 2115, 1]];100000707;99219147
